station,timestamp,temperature_celsius,relative_humidity_pct,delta_t_celsius,wind_speed_kmh,soil_moisture_pct,rain_prob_pct,crop_stage_sensitivity,readiness_score,spray_window_safe,ground_truth_safe,is_correct,rationale
Latur (Soybean Belt),2026-09-05T15:00,29.8,56.0,6.65,14.5,29.47,57.0,1.0,0.0,False,False,True,"Soil moisture 29.5% < 30% (xylem tension collapsed, stomata shut) | Rain probability 57.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-05T16:00,29.6,61.0,5.8,15.6,29.4,49.0,1.0,0.0,False,False,True,"Wind speed 15.6 km/h > 15 km/h limit (spray drift hazard) | Soil moisture 29.4% < 30% (xylem tension collapsed, stomata shut) | Rain probability 49.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-05T17:00,28.9,69.0,4.48,12.4,29.43,41.0,1.0,0.05,False,False,True,"Soil moisture 29.4% < 30% (xylem tension collapsed, stomata shut) | Rain probability 41.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-05T18:00,27.4,72.0,3.93,9.7,29.53,36.0,1.0,0.05,False,False,True,"Soil moisture 29.5% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-05T19:00,26.9,73.0,3.75,12.1,29.6,32.0,1.0,0.05,False,False,True,"Soil moisture 29.6% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-05T20:00,26.1,78.0,3.0,11.8,29.6,27.0,1.0,0.05,False,False,True,"Soil moisture 29.6% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-05T21:00,26.1,79.0,2.86,11.6,29.67,22.0,1.0,0.05,False,False,True,"Soil moisture 29.7% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-05T22:00,25.4,77.0,3.1,7.8,29.7,17.0,1.0,0.05,False,False,True,"Soil moisture 29.7% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-05T23:00,24.8,81.0,2.53,9.4,29.73,12.0,1.0,0.05,False,False,True,"Soil moisture 29.7% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T00:00,24.2,85.0,1.96,12.1,29.73,8.0,1.0,0.05,False,False,True,"Delta-T 2.0°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.7% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T01:00,23.6,87.0,1.68,12.5,29.73,5.0,1.0,0.001,False,False,True,"Delta-T 1.7°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.7% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T02:00,23.1,88.0,1.54,11.9,29.77,2.0,1.0,0.001,False,False,True,"Delta-T 1.5°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.8% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T03:00,22.7,89.0,1.4,11.3,29.77,1.0,1.0,0.001,False,False,True,"Delta-T 1.4°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.8% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T04:00,22.3,91.0,1.14,9.9,29.77,0.0,1.0,0.001,False,False,True,"Delta-T 1.1°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.8% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T05:00,22.0,92.0,1.0,8.9,29.8,0.0,1.0,0.001,False,False,True,"Delta-T 1.0°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.8% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T06:00,21.9,93.0,0.87,10.2,29.8,0.0,1.0,0.001,False,False,True,"Delta-T 0.9°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.8% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T07:00,23.2,86.0,1.8,15.3,29.77,0.0,1.0,0.026,False,False,True,"Wind speed 15.3 km/h > 15 km/h limit (spray drift hazard) | Delta-T 1.8°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.8% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T08:00,24.7,78.0,2.93,15.4,29.7,0.0,1.0,0.04,False,False,True,"Wind speed 15.4 km/h > 15 km/h limit (spray drift hazard) | Soil moisture 29.7% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T09:00,26.2,71.0,4.0,14.4,29.6,2.0,1.0,0.05,False,False,True,"Soil moisture 29.6% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T10:00,27.2,66.0,4.81,13.2,29.47,7.0,1.0,0.05,False,False,True,"Soil moisture 29.5% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T11:00,27.9,62.0,5.48,12.4,29.3,14.0,1.0,0.05,False,False,True,"Soil moisture 29.3% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T12:00,29.0,58.0,6.23,11.7,29.13,29.0,1.0,0.05,False,False,True,"Soil moisture 29.1% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T13:00,29.9,56.0,6.66,13.1,29.03,47.0,1.0,0.0,False,False,True,"Soil moisture 29.0% < 30% (xylem tension collapsed, stomata shut) | Rain probability 47.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-06T14:00,30.3,56.0,6.7,14.3,28.97,59.0,1.0,0.0,False,False,True,"Soil moisture 29.0% < 30% (xylem tension collapsed, stomata shut) | Rain probability 59.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-06T15:00,30.2,58.0,6.36,15.0,28.9,61.0,1.0,0.0,False,False,True,"Soil moisture 28.9% < 30% (xylem tension collapsed, stomata shut) | Rain probability 61.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-06T16:00,29.7,60.0,5.97,15.0,28.9,56.0,1.0,0.0,False,False,True,"Soil moisture 28.9% < 30% (xylem tension collapsed, stomata shut) | Rain probability 56.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-06T17:00,29.0,64.0,5.27,12.5,28.93,49.0,1.0,0.0,False,False,True,"Soil moisture 28.9% < 30% (xylem tension collapsed, stomata shut) | Rain probability 49.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-06T18:00,27.6,70.0,4.24,12.6,28.97,38.0,1.0,0.05,False,False,True,"Soil moisture 29.0% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T19:00,26.7,71.0,4.03,11.9,29.0,24.0,1.0,0.05,False,False,True,"Soil moisture 29.0% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T20:00,25.7,75.0,3.4,9.9,29.07,14.0,1.0,0.05,False,False,True,"Soil moisture 29.1% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T21:00,25.0,78.0,2.95,15.0,29.13,11.0,1.0,0.05,False,False,True,"Soil moisture 29.1% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T22:00,23.3,87.0,1.68,10.3,29.13,12.0,1.0,0.001,False,False,True,"Delta-T 1.7°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.1% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-06T23:00,23.4,86.0,1.81,7.9,29.17,12.0,1.0,0.05,False,False,True,"Delta-T 1.8°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.2% < 30% (xylem tension collapsed, stomata shut)"
Nashik (Grape Orchards),2026-09-05T00:00,22.5,91.0,1.14,10.9,42.43,0.0,0.85,0.001,False,False,True,"Delta-T 1.1°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T01:00,22.6,90.0,1.27,9.7,42.43,0.0,0.85,0.001,False,False,True,"Delta-T 1.3°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T02:00,22.5,91.0,1.14,10.4,42.47,0.0,0.85,0.001,False,False,True,"Delta-T 1.1°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T03:00,22.4,91.0,1.14,11.8,42.5,2.0,0.85,0.001,False,False,True,"Delta-T 1.1°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T04:00,22.3,90.0,1.26,10.0,42.53,4.0,0.85,0.001,False,False,True,"Delta-T 1.3°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T05:00,21.8,94.0,0.75,9.1,42.53,6.0,0.85,0.001,False,False,True,"Delta-T 0.8°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T06:00,21.7,94.0,0.74,9.7,42.53,5.0,0.85,0.001,False,False,True,"Delta-T 0.7°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T07:00,22.7,88.0,1.53,12.5,42.57,4.0,0.85,0.001,False,False,True,"Delta-T 1.5°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T08:00,24.1,82.0,2.36,14.3,42.53,12.0,0.85,0.916,True,True,True,Optimal stomatal aperture and atmospheric stability verified
Nashik (Grape Orchards),2026-09-05T09:00,25.0,78.0,2.95,15.9,42.5,38.0,0.85,0.04,False,False,True,Wind speed 15.9 km/h > 15 km/h limit (spray drift hazard)
Nashik (Grape Orchards),2026-09-05T10:00,25.4,75.0,3.38,17.3,42.43,73.0,0.85,0.0,False,False,True,Wind speed 17.3 km/h > 15 km/h limit (spray drift hazard) | Rain probability 73.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-05T11:00,26.0,72.0,3.84,18.6,42.4,98.0,0.85,0.0,False,False,True,Wind speed 18.6 km/h > 15 km/h limit (spray drift hazard) | Rain probability 98.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-05T12:00,26.4,72.0,3.87,18.3,42.37,100.0,0.85,0.0,False,False,True,Wind speed 18.3 km/h > 15 km/h limit (spray drift hazard) | Rain probability 100.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-05T13:00,25.9,72.0,3.84,17.3,42.33,100.0,0.85,0.0,False,False,True,Wind speed 17.3 km/h > 15 km/h limit (spray drift hazard) | Rain probability 100.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-05T14:00,26.9,70.0,4.19,19.1,42.33,100.0,0.85,0.0,False,False,True,Wind speed 19.1 km/h > 15 km/h limit (spray drift hazard) | Rain probability 100.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-05T15:00,26.6,70.0,4.17,19.1,42.3,100.0,0.85,0.0,False,False,True,Wind speed 19.1 km/h > 15 km/h limit (spray drift hazard) | Rain probability 100.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-05T16:00,26.0,75.0,3.42,20.0,42.23,100.0,0.85,0.0,False,False,True,Wind speed 20.0 km/h > 15 km/h limit (spray drift hazard) | Rain probability 100.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-05T17:00,24.7,82.0,2.39,18.6,42.23,94.0,0.85,0.0,False,False,True,Wind speed 18.6 km/h > 15 km/h limit (spray drift hazard) | Rain probability 94.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-05T18:00,23.7,86.0,1.82,15.1,42.27,66.0,0.85,0.0,False,False,True,"Wind speed 15.1 km/h > 15 km/h limit (spray drift hazard) | Delta-T 1.8°C < 2.0°C (excess humidity, spray runoff) | Rain probability 66.0% > 40% (chemical wash-off risk)"
Nashik (Grape Orchards),2026-09-05T19:00,23.0,90.0,1.28,12.5,42.33,29.0,0.85,0.001,False,False,True,"Delta-T 1.3°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T20:00,23.0,92.0,1.01,12.8,42.33,2.0,0.85,0.001,False,False,True,"Delta-T 1.0°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T21:00,22.7,93.0,0.88,12.4,42.37,0.0,0.85,0.001,False,False,True,"Delta-T 0.9°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T22:00,22.7,92.0,1.01,12.0,42.4,0.0,0.85,0.001,False,False,True,"Delta-T 1.0°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-05T23:00,22.8,92.0,1.01,11.8,42.4,0.0,0.85,0.001,False,False,True,"Delta-T 1.0°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T00:00,22.6,92.0,1.01,11.9,42.43,0.0,0.85,0.001,False,False,True,"Delta-T 1.0°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T01:00,22.4,92.0,1.01,11.4,42.43,1.0,0.85,0.001,False,False,True,"Delta-T 1.0°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T02:00,22.5,91.0,1.14,12.3,42.47,2.0,0.85,0.001,False,False,True,"Delta-T 1.1°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T03:00,22.4,90.0,1.27,12.5,42.5,2.0,0.85,0.001,False,False,True,"Delta-T 1.3°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T04:00,22.3,90.0,1.26,11.2,42.53,3.0,0.85,0.001,False,False,True,"Delta-T 1.3°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T05:00,22.2,90.0,1.26,10.7,42.53,4.0,0.85,0.001,False,False,True,"Delta-T 1.3°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T06:00,22.0,90.0,1.26,11.1,42.57,6.0,0.85,0.001,False,False,True,"Delta-T 1.3°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T07:00,22.8,87.0,1.66,11.9,42.57,9.0,0.85,0.001,False,False,True,"Delta-T 1.7°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T08:00,24.2,79.0,2.77,14.7,42.57,14.0,0.85,0.916,True,True,True,Optimal stomatal aperture and atmospheric stability verified
Nashik (Grape Orchards),2026-09-06T09:00,25.1,75.0,3.37,16.6,42.5,23.0,0.85,0.0,False,False,True,Wind speed 16.6 km/h > 15 km/h limit (spray drift hazard)
Nashik (Grape Orchards),2026-09-06T10:00,25.9,73.0,3.69,16.9,42.5,35.0,0.85,0.0,False,False,True,Wind speed 16.9 km/h > 15 km/h limit (spray drift hazard)
Nashik (Grape Orchards),2026-09-06T11:00,27.2,68.0,4.51,17.5,42.4,47.0,0.85,0.0,False,False,True,Wind speed 17.5 km/h > 15 km/h limit (spray drift hazard) | Rain probability 47.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-06T12:00,27.2,68.0,4.51,18.9,42.4,63.0,0.85,0.0,False,False,True,Wind speed 18.9 km/h > 15 km/h limit (spray drift hazard) | Rain probability 63.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-06T13:00,27.3,69.0,4.37,18.0,42.43,80.0,0.85,0.0,False,False,True,Wind speed 18.0 km/h > 15 km/h limit (spray drift hazard) | Rain probability 80.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-06T14:00,27.2,69.0,4.36,16.7,42.4,88.0,0.85,0.0,False,False,True,Wind speed 16.7 km/h > 15 km/h limit (spray drift hazard) | Rain probability 88.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-06T15:00,26.8,73.0,3.75,17.0,42.43,82.0,0.85,0.0,False,False,True,Wind speed 17.0 km/h > 15 km/h limit (spray drift hazard) | Rain probability 82.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-06T16:00,26.1,75.0,3.42,18.5,42.37,67.0,0.85,0.0,False,False,True,Wind speed 18.5 km/h > 15 km/h limit (spray drift hazard) | Rain probability 67.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-06T17:00,25.4,79.0,2.83,17.5,42.37,51.0,0.85,0.0,False,False,True,Wind speed 17.5 km/h > 15 km/h limit (spray drift hazard) | Rain probability 51.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),2026-09-06T18:00,24.2,84.0,2.1,14.9,42.43,33.0,0.85,0.771,True,True,True,Optimal stomatal aperture and atmospheric stability verified
Nashik (Grape Orchards),2026-09-06T19:00,23.2,89.0,1.41,14.8,42.43,14.0,0.85,0.001,False,False,True,"Delta-T 1.4°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T20:00,22.9,90.0,1.27,13.2,42.43,0.0,0.85,0.001,False,False,True,"Delta-T 1.3°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T21:00,22.7,91.0,1.14,13.4,42.47,0.0,0.85,0.001,False,False,True,"Delta-T 1.1°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T22:00,22.6,92.0,1.01,12.1,42.5,0.0,0.85,0.001,False,False,True,"Delta-T 1.0°C < 2.0°C (excess humidity, spray runoff)"
Nashik (Grape Orchards),2026-09-06T23:00,22.4,93.0,0.88,13.0,42.53,0.0,0.85,0.001,False,False,True,"Delta-T 0.9°C < 2.0°C (excess humidity, spray runoff)"
Ludhiana (Wheat/Paddy),2026-09-05T00:00,25.9,95.0,0.63,6.9,23.7,18.0,0.85,0.0,False,False,True,"Delta-T 0.6°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.7% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T01:00,25.9,96.0,0.49,7.5,23.67,19.0,0.85,0.0,False,False,True,"Delta-T 0.5°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.7% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T02:00,25.9,95.0,0.63,6.2,23.63,18.0,0.85,0.0,False,False,True,"Delta-T 0.6°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.6% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T03:00,25.8,95.0,0.63,3.8,23.6,14.0,0.85,0.0,False,False,True,"Delta-T 0.6°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.6% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T04:00,25.6,96.0,0.49,5.4,23.57,8.0,0.85,0.0,False,False,True,"Delta-T 0.5°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.6% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T05:00,25.5,96.0,0.49,4.7,23.57,6.0,0.85,0.0,False,False,True,"Delta-T 0.5°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.6% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T06:00,25.5,97.0,0.36,3.0,23.53,9.0,0.85,0.0,False,False,True,"Delta-T 0.4°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.5% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T07:00,26.5,81.0,2.59,3.1,23.5,15.0,0.85,0.0,False,False,True,"Soil moisture 23.5% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T08:00,25.7,89.0,1.45,7.8,23.47,22.0,0.85,0.0,False,False,True,"Delta-T 1.4°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.5% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T09:00,27.3,82.0,2.48,8.0,23.33,31.0,0.85,0.0,False,False,True,"Soil moisture 23.3% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T10:00,28.8,76.0,3.42,3.3,23.23,41.0,0.85,0.0,False,False,True,"Soil moisture 23.2% < 30% (xylem tension collapsed, stomata shut) | Rain probability 41.0% > 40% (chemical wash-off risk)"
Ludhiana (Wheat/Paddy),2026-09-05T11:00,30.2,72.0,4.11,1.3,23.07,51.0,0.85,0.0,False,False,True,"Soil moisture 23.1% < 30% (xylem tension collapsed, stomata shut) | Rain probability 51.0% > 40% (chemical wash-off risk)"
Ludhiana (Wheat/Paddy),2026-09-05T12:00,31.1,67.0,4.96,1.4,22.9,60.0,0.85,0.0,False,False,True,"Soil moisture 22.9% < 30% (xylem tension collapsed, stomata shut) | Rain probability 60.0% > 40% (chemical wash-off risk)"
Ludhiana (Wheat/Paddy),2026-09-05T13:00,31.9,63.0,5.69,4.4,22.8,69.0,0.85,0.0,False,False,True,"Soil moisture 22.8% < 30% (xylem tension collapsed, stomata shut) | Rain probability 69.0% > 40% (chemical wash-off risk)"
Ludhiana (Wheat/Paddy),2026-09-05T14:00,30.9,69.0,4.63,8.3,22.7,73.0,0.85,0.0,False,False,True,"Soil moisture 22.7% < 30% (xylem tension collapsed, stomata shut) | Rain probability 73.0% > 40% (chemical wash-off risk)"
Ludhiana (Wheat/Paddy),2026-09-05T15:00,30.2,72.0,4.11,7.7,22.97,72.0,0.85,0.0,False,False,True,"Soil moisture 23.0% < 30% (xylem tension collapsed, stomata shut) | Rain probability 72.0% > 40% (chemical wash-off risk)"
Ludhiana (Wheat/Paddy),2026-09-05T16:00,30.1,72.0,4.1,6.4,23.7,66.0,0.85,0.0,False,False,True,"Soil moisture 23.7% < 30% (xylem tension collapsed, stomata shut) | Rain probability 66.0% > 40% (chemical wash-off risk)"
Ludhiana (Wheat/Paddy),2026-09-05T17:00,29.5,75.0,3.6,4.8,23.4,57.0,0.85,0.0,False,False,True,"Soil moisture 23.4% < 30% (xylem tension collapsed, stomata shut) | Rain probability 57.0% > 40% (chemical wash-off risk)"
Ludhiana (Wheat/Paddy),2026-09-05T18:00,28.8,80.0,2.82,3.3,23.33,40.0,0.85,0.0,False,False,True,"Soil moisture 23.3% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T19:00,28.2,87.0,1.78,2.7,23.3,19.0,0.85,0.0,False,False,True,"Delta-T 1.8°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.3% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T20:00,27.6,91.0,1.2,5.8,23.27,4.0,0.85,0.0,False,False,True,"Delta-T 1.2°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.3% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T21:00,27.2,93.0,0.92,4.5,23.23,0.0,0.85,0.0,False,False,True,"Delta-T 0.9°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.2% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T22:00,26.7,97.0,0.36,3.3,23.2,0.0,0.85,0.0,False,False,True,"Delta-T 0.4°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.2% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-05T23:00,26.4,100.0,-0.06,1.5,23.2,0.0,0.85,0.0,False,False,True,"Delta-T -0.1°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.2% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-06T00:00,26.1,99.0,0.08,2.0,23.17,0.0,0.85,0.0,False,False,True,"Delta-T 0.1°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.2% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-06T01:00,26.0,97.0,0.36,1.3,23.17,0.0,0.85,0.0,False,False,True,"Delta-T 0.4°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.2% < 30% (xylem tension collapsed, stomata shut)"
Ludhiana (Wheat/Paddy),2026-09-06T02:00,25.8,96.0,0.49,1.7,23.17,0.0,0.85,0.0,False,False,True,"Delta-T 0.5°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.2% < 30% (xylem tension collapsed, stomata shut)"
