soil_moisture_pct,delta_t_celsius,wind_speed_kmh,rain_prob_next_48h,crop_stage_sensitivity,target_readiness
41.29,5.62,6.21,15.13,0.85,1
31.95,2.86,1.46,33.16,0.2,1
51.77,3.41,22.88,45.96,0.85,0
54.39,4.69,2.44,4.96,0.3,1
63.67,5.07,19.59,7.92,1.0,0
47.31,6.37,8.97,8.38,0.5,1
48.71,4.23,10.14,20.21,0.3,1
43.73,7.31,2.84,25.13,0.85,1
38.11,7.27,18.42,51.65,1.0,0
44.55,9.16,4.03,14.82,0.3,0
24.66,4.81,16.75,14.65,0.2,0
27.01,5.67,4.68,23.61,0.85,0
43.66,4.41,4.57,44.66,0.85,0
62.89,2.88,3.99,34.12,0.85,1
43.94,12.5,4.13,1.3,0.5,0
60.24,8.56,11.65,67.57,0.5,0
48.13,7.19,1.0,12.7,0.85,1
19.11,4.72,14.31,5.99,0.2,0
28.89,2.73,12.74,0.53,0.2,1
49.2,7.86,7.79,14.83,0.85,1
30.79,4.37,15.15,49.41,0.5,0
39.35,5.94,12.15,11.91,0.5,1
40.04,3.4,22.22,28.53,0.5,0
53.76,5.43,11.44,30.74,1.0,1
32.37,3.52,10.94,18.02,0.85,0
47.71,3.6,3.24,12.6,0.2,1
30.94,5.4,17.15,45.23,0.85,0
48.81,1.84,10.88,59.66,1.0,0
30.02,1.9,8.59,34.19,0.85,1
38.34,3.08,1.0,7.72,0.2,1
46.44,4.2,8.99,53.38,0.2,0
44.82,7.43,10.24,17.11,0.2,0
42.96,4.34,12.41,37.46,0.85,1
45.38,4.7,4.32,16.62,1.0,1
52.53,4.02,3.08,10.07,0.85,1
58.79,5.66,10.03,11.49,0.2,1
45.85,2.87,15.46,42.79,1.0,0
42.43,4.47,11.15,24.9,0.5,1
40.24,5.9,13.53,38.99,0.5,1
38.39,5.37,7.02,66.87,0.2,0
54.64,4.78,4.78,38.05,0.5,1
44.71,4.82,5.71,6.35,0.2,1
56.46,6.21,4.89,59.96,1.0,0
48.03,12.5,17.99,18.82,0.2,0
24.03,2.98,18.85,16.75,0.85,0
47.04,12.5,10.13,26.47,0.2,0
39.43,2.9,11.18,60.85,0.2,0
50.7,1.04,16.79,53.21,0.5,0
25.94,3.48,6.43,15.21,0.5,0
57.36,5.72,5.72,38.89,0.2,1
28.87,11.72,17.29,36.8,0.2,0
59.98,2.73,4.6,44.29,0.2,0
24.45,6.19,31.5,39.39,0.85,0
63.0,2.03,14.26,28.61,0.2,0
53.99,11.51,16.87,65.02,1.0,0
30.79,8.65,5.7,31.8,0.2,0
45.57,3.6,15.72,60.98,0.85,0
32.55,9.36,7.03,38.7,0.5,0
35.19,4.45,7.96,5.07,0.2,1
21.76,8.88,11.24,32.57,0.85,0
28.81,4.76,20.81,27.51,0.3,0
23.35,4.88,9.55,44.56,0.3,0
47.6,3.65,10.58,9.2,0.85,1
64.13,6.61,17.54,26.99,0.2,0
58.95,5.08,5.23,25.43,0.3,1
56.41,6.26,8.69,1.68,0.85,1
45.58,1.72,16.63,18.32,1.0,0
51.56,9.04,15.1,42.06,0.85,0
63.1,10.21,2.33,21.12,0.85,0
55.99,5.07,2.27,12.04,0.85,1
43.92,12.5,16.18,31.65,0.2,0
42.75,11.14,5.62,46.25,0.2,0
51.67,6.69,6.92,35.94,0.2,1
45.43,9.42,11.79,5.29,0.3,0
61.96,8.17,11.52,25.57,0.5,0
32.25,1.43,12.28,78.09,0.5,0
33.86,4.07,2.91,42.56,0.85,0
30.97,6.93,10.48,35.77,0.5,0
40.13,10.56,8.69,36.59,0.85,0
37.28,1.94,14.46,39.34,0.2,1
31.21,1.5,4.07,51.04,0.5,0
55.54,4.6,12.26,18.54,0.2,0
60.51,1.09,13.48,3.01,0.85,0
29.39,4.52,24.98,15.1,0.5,0
58.38,5.8,10.69,11.12,0.85,1
61.89,2.66,5.63,50.76,0.2,0
57.5,4.58,15.6,13.47,0.2,1
48.97,7.78,14.24,56.13,0.3,0
65.77,3.47,1.76,52.12,0.5,0
51.13,2.93,13.35,23.96,0.85,0
56.83,4.47,12.02,6.77,0.5,1
63.16,2.49,5.37,34.95,0.2,1
52.54,12.16,10.32,18.06,0.2,0
42.78,4.84,9.35,5.5,1.0,1
30.83,3.12,5.73,48.09,0.5,0
55.15,5.34,8.46,8.05,1.0,1
51.23,4.46,4.69,11.74,0.85,1
22.49,4.18,4.15,18.23,0.85,0
43.98,3.47,19.5,40.25,0.2,0
30.01,3.37,10.07,66.36,1.0,0
36.36,1.74,14.61,31.2,0.85,0
45.01,9.41,6.73,13.74,0.2,0
40.32,6.46,6.73,28.02,0.2,1
45.11,5.63,8.98,32.52,0.85,1
49.2,4.42,15.88,38.72,0.85,1
46.86,2.63,20.17,51.04,1.0,0
65.2,3.0,2.06,6.87,0.2,1
59.69,1.88,8.51,31.21,0.2,1
22.74,3.22,16.54,20.47,0.85,0
43.46,2.41,9.67,27.27,0.85,1
37.26,10.83,8.27,12.1,0.3,0
41.18,7.51,4.03,25.88,0.3,1
35.32,4.96,8.17,9.25,1.0,1
59.77,2.8,12.97,24.23,1.0,0
59.92,2.48,11.8,35.94,0.85,1
42.55,4.26,8.11,15.65,0.5,1
44.45,7.68,13.56,8.34,0.2,1
54.44,1.91,10.38,8.97,0.85,1
38.23,6.42,5.85,32.49,0.5,0
57.25,3.22,3.82,39.28,1.0,1
47.49,3.56,11.6,49.5,0.2,0
24.17,4.88,4.41,12.49,1.0,0
45.21,2.86,4.95,29.05,1.0,1
37.11,4.14,5.91,47.19,0.5,0
37.9,2.72,20.12,6.12,1.0,0
42.55,3.37,11.83,45.57,0.85,0
36.33,7.07,18.79,4.96,1.0,0
48.17,5.02,5.43,19.93,0.85,1
54.28,7.05,10.73,11.51,0.5,1
56.49,3.19,11.71,39.24,0.85,0
61.56,6.44,20.28,32.79,0.2,0
41.38,1.6,8.5,20.84,0.2,0
57.29,4.88,11.18,64.89,0.85,0
46.97,6.67,16.61,12.01,0.2,0
51.33,1.55,3.87,24.54,0.2,0
41.46,3.21,17.96,6.18,0.5,0
55.95,4.88,6.59,2.43,1.0,1
42.07,7.97,7.98,4.09,1.0,1
27.46,3.37,9.04,6.02,0.85,0
40.92,6.31,12.53,6.91,0.2,1
38.7,9.73,4.13,21.5,0.2,0
40.16,6.46,11.92,18.19,0.2,1
48.07,4.23,3.06,61.67,0.5,0
44.4,5.81,7.34,47.65,0.2,0
49.87,3.31,10.78,6.26,0.85,1
43.78,4.98,3.85,28.93,0.5,1
39.94,4.35,11.61,47.17,0.85,0
22.9,5.71,20.57,8.95,0.5,0
34.65,3.73,20.76,11.15,0.2,0
44.91,5.88,10.26,7.3,1.0,1
34.3,3.71,9.25,33.75,1.0,1
50.58,7.48,8.06,6.33,0.5,1
35.94,3.93,8.35,12.59,0.85,1
33.79,1.12,9.97,59.82,0.5,0
46.45,2.54,8.05,13.22,0.2,1
57.65,4.8,7.94,37.94,1.0,1
57.14,10.78,6.04,11.86,0.85,0
44.16,7.33,11.79,18.31,0.5,1
52.22,0.95,16.45,12.17,0.5,0
43.17,1.8,1.69,1.31,0.2,0
50.36,8.5,21.42,13.18,0.5,0
40.79,6.65,12.66,11.53,1.0,1
35.0,12.5,1.0,3.74,0.2,0
44.43,3.63,3.15,12.13,0.85,1
47.44,2.82,19.14,52.5,0.85,0
40.24,4.94,11.67,50.01,0.2,0
46.31,3.59,2.36,62.64,0.85,0
54.27,8.09,6.72,23.59,0.5,1
46.69,3.51,16.85,16.37,0.5,0
31.57,4.07,15.88,5.28,0.5,1
50.59,2.59,4.64,7.86,0.5,1
50.49,7.07,7.89,38.62,0.85,1
49.98,2.69,13.24,1.24,0.5,1
23.29,5.94,11.95,29.09,0.5,0
51.52,11.73,3.14,46.63,0.5,0
52.7,1.41,10.4,9.08,1.0,0
55.5,9.97,1.44,21.2,0.85,0
44.0,5.54,7.05,43.26,0.5,0
31.13,2.33,9.23,29.26,0.85,1
26.14,5.05,1.94,5.28,0.85,0
59.53,6.96,15.53,34.35,0.3,0
41.31,2.94,7.76,13.02,0.2,1
56.45,6.12,7.65,30.27,0.2,1
24.74,10.4,3.33,5.91,1.0,0
45.87,3.51,8.62,41.69,0.5,1
53.11,2.57,2.9,46.58,0.2,0
56.49,4.42,4.03,3.98,0.5,1
38.91,4.9,15.25,14.06,0.5,0
33.03,8.31,11.87,33.2,1.0,0
33.08,4.34,10.42,13.75,1.0,1
59.62,3.7,9.08,2.75,0.2,1
41.18,2.53,8.59,52.23,0.3,0
32.89,1.56,20.34,2.99,1.0,0
57.18,2.07,26.07,26.74,0.5,0
50.53,2.06,7.37,29.22,0.5,1
50.05,4.09,1.02,12.67,0.5,1
25.09,1.76,17.93,25.98,0.2,0
63.42,4.61,6.48,4.39,0.85,1
59.23,11.59,18.6,51.42,0.85,0
58.96,8.44,9.46,29.72,0.85,0
42.75,4.07,21.49,9.85,0.85,0
66.21,12.5,9.16,3.91,0.5,0
46.34,4.91,8.0,65.88,0.5,0
59.76,5.3,18.52,47.39,0.5,0
44.97,4.37,12.57,11.96,0.2,1
35.78,4.66,15.46,51.87,0.85,0
38.08,3.44,2.68,25.15,0.2,0
51.29,4.1,10.69,35.87,0.85,0
53.6,10.0,11.61,16.47,1.0,0
62.81,8.91,3.73,11.67,1.0,0
52.7,1.09,6.2,19.94,1.0,0
55.38,1.9,17.13,25.03,1.0,0
42.34,2.96,5.21,24.63,0.5,1
44.32,7.71,13.82,21.81,0.85,1
36.66,9.02,1.44,38.97,0.5,0
51.99,6.95,4.5,4.25,0.2,1
53.21,2.33,2.15,25.97,0.5,1
68.74,3.48,7.67,12.13,1.0,1
63.89,6.18,4.83,1.99,0.85,1
46.53,4.14,5.65,39.24,1.0,1
54.69,3.82,9.06,8.17,0.85,1
47.12,3.85,9.24,71.72,1.0,0
40.88,8.57,4.97,28.71,0.2,0
35.12,6.52,15.73,23.57,1.0,1
42.26,3.97,6.69,15.66,0.5,1
39.51,5.67,7.28,25.68,0.5,1
25.2,2.13,17.32,11.3,0.85,0
45.55,3.49,7.99,22.93,0.3,1
45.77,8.14,5.02,54.12,0.2,0
71.08,1.69,2.88,41.89,0.2,0
46.64,6.56,11.58,45.57,0.3,0
38.25,1.08,4.66,10.77,0.5,0
59.54,10.87,14.25,20.58,1.0,0
44.93,3.44,17.21,17.59,1.0,0
52.12,5.9,9.1,21.11,1.0,1
25.74,5.06,10.23,13.96,0.2,0
58.77,5.16,2.66,11.12,0.5,1
49.88,5.62,11.46,10.13,0.85,1
49.33,1.49,18.08,0.67,0.5,0
43.79,5.22,1.0,10.69,0.5,1
43.74,4.28,5.02,60.91,0.2,0
42.63,3.45,6.62,15.16,0.2,1
22.96,2.96,14.8,47.3,0.2,0
53.63,5.29,3.29,2.56,0.85,1
24.03,2.59,8.15,16.06,1.0,0
44.7,8.06,4.56,60.22,0.5,0
42.01,6.13,18.04,14.88,0.5,0
53.32,5.47,4.92,4.61,0.2,1
35.12,7.89,6.36,11.58,0.5,1
37.51,1.34,9.74,30.66,0.5,0
43.5,2.09,2.78,49.5,0.85,0
46.34,6.27,7.96,23.53,0.3,1
43.77,3.06,6.39,59.96,0.2,0
58.76,3.3,16.32,12.18,1.0,0
63.75,1.9,14.22,51.02,0.2,0
36.0,2.59,18.75,9.62,0.5,0
42.76,8.15,5.9,41.11,0.5,0
50.99,6.19,14.7,30.32,0.85,0
36.05,5.26,14.88,18.55,0.85,1
58.61,3.37,3.43,68.69,1.0,0
38.6,5.08,8.98,22.55,0.5,1
56.05,8.53,22.42,26.02,1.0,0
55.49,3.11,15.14,20.79,0.5,1
48.97,4.66,11.42,1.27,0.5,1
43.95,11.22,9.17,30.44,0.85,0
70.59,6.9,12.38,8.33,0.85,1
47.6,3.4,14.35,50.38,1.0,0
62.43,6.61,8.89,45.28,0.2,0
37.83,1.67,13.01,29.31,0.5,0
56.68,4.55,4.09,6.53,1.0,1
27.55,6.61,7.49,4.63,0.5,0
30.99,5.84,2.26,41.72,0.2,1
33.46,6.57,13.54,24.54,0.2,1
36.52,7.34,4.95,31.35,0.85,1
45.96,6.08,4.25,34.94,1.0,1
63.24,5.99,8.09,23.03,0.2,1
45.74,5.33,9.48,6.04,1.0,1
48.78,2.41,4.26,14.31,0.85,1
52.0,8.15,7.06,11.59,0.85,1
45.51,4.65,10.16,9.35,0.5,1
35.87,6.81,2.99,10.52,0.3,1
58.82,7.72,6.44,20.33,0.85,1
28.86,3.5,5.66,18.76,0.2,1
41.14,3.68,12.59,25.14,0.2,1
45.5,3.97,4.26,20.6,0.2,1
39.1,8.95,8.89,15.69,0.85,0
56.71,2.74,6.58,64.4,0.2,0
28.06,9.75,12.62,12.16,0.3,0
44.44,5.29,21.33,5.73,1.0,0
23.76,5.5,16.18,5.69,1.0,0
55.46,7.54,9.22,31.57,0.85,1
35.97,4.97,15.89,5.7,0.3,1
58.68,8.2,12.38,42.2,1.0,0
41.02,3.5,4.65,14.15,1.0,0
55.94,9.59,12.04,36.57,0.2,0
37.15,3.66,10.24,21.97,0.5,1
52.22,9.78,4.84,8.5,0.85,0
31.89,3.71,22.44,51.89,0.3,0
52.64,4.04,14.73,24.08,1.0,1
50.6,2.54,13.6,24.15,1.0,1
66.15,2.98,23.04,27.26,0.5,0
40.96,4.66,25.2,0.41,1.0,0
43.97,5.4,8.64,6.68,1.0,1
25.93,7.89,9.06,27.93,0.85,0
43.57,4.2,15.67,47.73,0.2,0
64.46,2.34,11.02,50.8,1.0,0
19.77,5.85,2.74,4.98,1.0,0
36.08,5.21,12.03,12.2,0.5,1
46.8,6.19,8.59,21.25,0.3,1
26.83,3.24,2.33,22.3,0.85,0
32.42,3.47,18.11,2.51,0.2,0
53.33,3.24,5.27,34.23,0.5,1
38.7,8.68,20.43,21.52,0.5,0
59.85,9.64,9.01,18.78,0.2,0
46.47,3.38,11.21,5.05,1.0,1
63.26,3.42,5.69,21.41,0.2,1
47.46,6.65,24.67,8.49,1.0,0
64.93,10.19,2.04,41.39,0.3,0
62.04,11.34,16.08,13.64,0.5,0
42.58,3.29,2.5,40.67,0.85,0
49.61,3.79,17.8,21.86,0.85,0
46.97,5.55,17.86,23.91,0.85,0
56.96,5.7,7.13,3.05,0.5,1
26.58,4.29,10.48,27.02,0.3,0
35.12,2.92,15.83,7.23,0.2,1
38.18,4.66,6.43,27.67,0.85,1
43.98,11.33,3.67,16.8,0.2,0
33.9,3.5,18.21,48.73,0.5,0
57.55,5.37,2.65,9.23,0.2,1
56.47,12.5,3.71,3.36,1.0,0
39.09,3.47,4.44,0.51,0.2,1
33.15,6.81,10.77,0.06,1.0,1
18.35,11.58,6.46,28.28,0.2,0
42.47,6.51,9.82,19.26,0.5,1
53.6,8.37,13.84,23.51,0.2,0
33.68,7.29,10.55,29.1,0.3,0
26.1,6.24,17.96,23.48,0.2,0
22.38,9.48,3.16,44.24,1.0,0
25.69,6.7,18.66,42.48,0.85,0
29.12,4.32,8.77,19.97,0.85,1
33.39,5.15,2.29,22.83,0.85,1
43.16,5.8,17.03,28.18,0.5,0
56.2,3.78,3.4,10.65,0.5,1
35.78,5.28,11.67,44.7,0.2,0
41.94,4.88,5.97,29.07,0.3,1
48.78,6.69,3.24,38.09,0.5,1
52.05,12.5,15.49,11.4,0.3,0
46.42,5.45,7.95,38.55,0.5,1
53.92,10.33,10.8,8.82,0.3,0
54.8,6.56,12.3,32.38,0.5,1
32.99,5.27,9.74,6.82,0.2,1
55.56,3.66,13.83,69.05,0.2,0
48.8,5.29,8.98,20.54,0.2,1
54.01,5.11,7.79,19.66,0.85,1
52.4,3.12,13.23,24.94,1.0,1
32.95,3.41,4.92,22.05,0.85,1
48.16,5.83,19.69,26.11,1.0,0
50.6,10.27,6.2,29.45,0.2,0
47.68,4.58,1.83,46.78,0.85,0
36.3,1.84,9.6,77.03,0.5,0
27.96,0.97,6.22,18.17,0.85,0
38.98,2.51,4.14,66.27,0.3,0
28.28,6.9,13.92,16.02,1.0,0
55.88,2.09,10.32,15.12,0.2,1
48.84,7.48,10.36,43.99,1.0,0
43.55,6.71,9.2,7.19,0.5,1
49.8,4.49,11.22,38.45,0.5,1
45.81,3.13,18.52,7.9,1.0,0
60.67,4.13,6.62,15.85,0.5,1
39.61,5.75,11.06,50.8,0.2,0
46.43,2.13,13.93,30.98,0.5,0
50.03,9.74,4.83,2.38,0.2,0
52.83,5.72,12.86,58.4,0.2,0
66.39,6.08,7.32,25.03,0.2,1
66.1,6.68,15.44,13.01,0.5,1
51.01,9.25,6.14,3.99,1.0,0
46.84,5.29,12.06,39.11,0.85,1
60.16,6.9,9.13,53.44,0.3,0
42.25,3.16,13.18,44.77,1.0,0
21.94,11.36,14.64,48.0,0.2,0
50.13,5.1,3.53,42.36,0.5,0
38.21,3.15,5.68,59.79,1.0,0
52.36,3.66,5.61,12.11,0.2,1
66.36,1.28,2.0,11.41,0.85,0
36.39,3.64,20.89,22.47,0.2,0
38.47,0.8,9.83,18.24,0.5,0
48.32,7.17,5.08,25.1,0.5,1
56.03,5.98,9.94,16.63,0.85,1
48.35,2.61,15.09,3.83,0.85,1
63.32,4.62,4.16,10.18,1.0,1
57.66,4.74,11.27,24.39,0.2,1
42.68,2.28,4.0,38.69,0.5,1
40.88,4.18,15.71,23.44,0.5,1
50.83,4.82,5.36,10.4,0.85,1
33.13,4.12,10.56,8.67,0.2,1
34.39,3.15,1.18,9.93,0.5,0
65.49,2.55,1.0,59.15,0.5,0
50.75,4.04,11.86,6.82,0.2,1
49.62,3.38,2.26,15.14,0.2,1
56.38,6.45,4.96,21.55,0.2,1
35.09,9.55,19.49,22.53,0.2,0
30.85,7.67,11.23,9.54,0.2,0
59.22,4.91,5.67,3.23,0.2,1
42.4,3.22,11.67,18.36,0.2,1
48.06,7.56,26.95,56.24,0.5,0
57.12,6.66,8.07,26.39,1.0,0
50.25,9.21,9.12,36.55,0.2,0
40.29,5.3,9.48,22.59,0.2,1
47.21,11.05,4.18,20.43,0.2,0
55.95,5.3,9.46,2.17,1.0,1
49.62,3.21,10.97,29.97,0.2,1
41.65,3.57,8.83,49.7,0.5,0
43.69,6.29,8.42,10.41,0.5,1
42.4,3.38,5.07,35.3,1.0,1
42.99,11.01,10.18,27.96,0.5,0
44.33,6.01,9.68,21.32,0.5,1
69.76,4.85,18.91,24.61,0.85,0
45.12,5.08,7.12,16.58,0.85,1
43.09,4.1,12.21,56.05,0.2,0
28.19,1.54,13.93,4.39,0.85,0
57.24,3.57,14.13,3.31,0.85,1
41.64,10.31,9.94,60.19,0.2,0
46.36,5.37,10.87,49.32,0.2,0
28.53,8.13,14.36,17.64,0.3,1
36.4,8.25,1.55,9.18,0.2,0
56.56,4.65,5.0,33.05,0.2,1
34.02,6.71,9.34,19.63,0.5,1
48.57,1.66,12.78,37.59,0.2,0
38.41,9.88,4.48,55.08,0.85,0
51.12,9.47,16.32,21.11,0.85,0
25.32,6.19,9.17,66.13,0.85,0
45.1,5.48,7.28,50.67,0.5,0
46.94,4.68,4.04,54.99,0.5,0
32.75,8.62,9.86,28.67,0.85,0
27.24,7.12,14.05,45.98,0.2,0
47.02,0.8,6.38,27.02,0.3,0
63.3,3.85,8.92,8.24,1.0,1
70.06,2.34,4.43,17.61,0.2,1
58.59,2.06,5.64,43.64,0.2,0
30.78,8.57,12.03,11.95,0.5,0
51.97,4.63,21.69,35.74,0.2,0
52.58,6.14,10.68,18.62,0.85,1
51.52,4.96,10.99,19.62,0.3,1
48.29,2.08,16.73,4.42,0.3,0
63.47,1.69,4.5,25.11,1.0,0
38.12,3.7,14.68,41.48,0.5,1
19.1,3.88,15.97,37.77,0.5,0
54.1,3.88,12.08,70.97,1.0,0
53.78,3.94,1.73,17.81,1.0,1
39.42,12.5,18.72,25.66,0.3,0
42.91,8.06,10.37,20.43,0.2,1
67.81,5.42,5.1,56.59,0.5,0
34.69,4.56,8.78,34.52,0.5,1
42.33,4.65,9.98,1.58,1.0,1
