sample_id,region,state_country,season,temp_max_forecast_7d,temp_night_min_7d,rh_avg_forecast_7d,vpd_kpa,soil_moisture_vol_pct,consecutive_hot_days,crop_gdd_accumulated,rainfall_3d_sum_mm,soil_clay_pct,soil_ec_ds_m,soil_ph,stress_class,stress_label
AASRA-TRN-000011,Latur,"Maharashtra, India",Kharif/Wet,40.99,32.0,96.5,0.27,45.99,1,1086.3,78.49,48.6,1.09,7.13,1,Heat Stress
AASRA-TRN-000012,Latur,"Maharashtra, India",Rabi/Winter,20.87,8.99,62.25,0.93,41.78,0,54.2,0.1,53.0,1.56,8.17,0,Optimal
AASRA-TRN-000013,Latur,"Maharashtra, India",Kharif/Wet,28.89,20.73,79.43,0.82,28.28,0,385.1,22.08,52.8,0.89,7.63,0,Optimal
AASRA-TRN-000014,Latur,"Maharashtra, India",Kharif/Wet,30.23,21.19,61.85,1.64,21.91,0,1194.0,9.43,47.5,1.53,8.02,0,Optimal
AASRA-TRN-000015,Latur,"Maharashtra, India",Rabi/Winter,25.07,10.35,71.48,0.91,21.96,0,393.1,2.43,43.7,1.08,7.89,0,Optimal
AASRA-TRN-000016,Latur,"Maharashtra, India",Zaid/Summer,37.53,26.32,19.5,5.2,29.31,2,920.9,0.13,48.8,0.81,8.1,0,Optimal
AASRA-TRN-000017,Latur,"Maharashtra, India",Rabi/Winter,20.98,10.72,82.21,0.44,16.79,0,520.6,1.37,46.7,2.08,7.95,2,Drought Stress
AASRA-TRN-000018,Latur,"Maharashtra, India",Zaid/Summer,43.88,31.42,41.02,5.33,32.04,4,1659.1,1.5,57.6,1.48,7.83,1,Heat Stress
AASRA-TRN-000019,Latur,"Maharashtra, India",Kharif/Wet,24.48,15.06,96.12,0.2,44.74,0,986.4,30.3,47.1,1.2,8.54,0,Optimal
AASRA-TRN-000020,Latur,"Maharashtra, India",Kharif/Wet,39.46,32.0,77.41,1.62,33.41,2,2418.6,6.88,43.3,2.66,7.23,1,Heat Stress
AASRA-TRN-000021,Latur,"Maharashtra, India",Kharif/Wet,37.37,30.58,90.37,0.62,26.06,1,2500.0,7.65,51.7,2.46,7.98,0,Optimal
AASRA-TRN-000022,Latur,"Maharashtra, India",Kharif/Wet,41.0,32.0,97.27,0.21,25.17,7,1987.6,3.71,45.6,2.63,7.66,1,Heat Stress
AASRA-TRN-000023,Latur,"Maharashtra, India",Kharif/Wet,24.04,15.92,60.07,1.19,11.39,0,1167.8,1.96,56.4,1.81,8.45,2,Drought Stress
AASRA-TRN-000024,Latur,"Maharashtra, India",Kharif/Wet,29.2,23.8,85.54,0.59,27.35,0,1056.0,12.3,46.0,0.86,7.76,0,Optimal
AASRA-TRN-000025,Latur,"Maharashtra, India",Rabi/Winter,23.89,10.61,57.39,1.26,15.24,0,565.4,1.63,52.4,0.81,7.55,2,Drought Stress
AASRA-TRN-000026,Latur,"Maharashtra, India",Kharif/Wet,42.01,32.0,93.47,0.54,40.89,4,1134.2,65.53,46.3,1.1,8.92,1,Heat Stress
AASRA-TRN-000027,Latur,"Maharashtra, India",Zaid/Summer,41.34,32.0,45.97,4.28,11.51,2,293.4,1.32,41.4,1.83,8.25,3,Compound Stress (Heat+Drought)
AASRA-TRN-000028,Latur,"Maharashtra, India",Rabi/Winter,17.89,6.5,69.8,0.62,25.65,0,217.2,0.91,44.3,3.56,8.26,0,Optimal
AASRA-TRN-000029,Latur,"Maharashtra, India",Kharif/Wet,24.46,15.57,95.23,0.2,15.82,0,330.5,9.17,43.7,2.75,8.34,6,Salinity Stress
AASRA-TRN-000030,Latur,"Maharashtra, India",Zaid/Summer,41.08,32.0,42.8,4.47,39.17,4,1539.4,4.77,49.4,1.93,7.76,1,Heat Stress
AASRA-TRN-000031,Latur,"Maharashtra, India",Rabi/Winter,24.85,10.33,69.72,0.95,36.76,0,713.4,0.29,50.3,0.86,7.07,0,Optimal
AASRA-TRN-000032,Latur,"Maharashtra, India",Rabi/Winter,19.39,4.32,66.3,0.76,30.72,0,217.5,5.47,46.2,3.02,7.33,0,Optimal
AASRA-TRN-000033,Latur,"Maharashtra, India",Zaid/Summer,38.13,26.24,28.42,4.77,20.26,1,2107.4,1.23,47.3,3.17,7.79,3,Compound Stress (Heat+Drought)
AASRA-TRN-000034,Latur,"Maharashtra, India",Rabi/Winter,20.76,6.99,65.01,0.86,32.45,0,40.0,0.81,45.0,1.55,7.78,0,Optimal
AASRA-TRN-000035,Latur,"Maharashtra, India",Kharif/Wet,33.51,28.14,96.77,0.2,23.27,0,1853.3,17.76,48.0,1.54,8.31,0,Optimal
AASRA-TRN-000036,Latur,"Maharashtra, India",Kharif/Wet,40.67,30.88,73.78,2.0,12.07,2,541.3,1.31,46.9,0.99,7.54,3,Compound Stress (Heat+Drought)
AASRA-TRN-000037,Latur,"Maharashtra, India",Kharif/Wet,34.04,27.49,85.39,0.78,44.13,0,747.5,36.98,54.6,0.98,7.34,0,Optimal
AASRA-TRN-000038,Latur,"Maharashtra, India",Zaid/Summer,48.33,32.0,40.44,5.8,14.68,1,2500.0,0.79,49.2,1.27,7.8,3,Compound Stress (Heat+Drought)
AASRA-TRN-000039,Latur,"Maharashtra, India",Kharif/Wet,34.04,25.29,81.41,0.99,35.13,0,196.7,53.76,54.7,2.1,7.57,0,Optimal
AASRA-TRN-000040,Latur,"Maharashtra, India",Kharif/Wet,38.6,28.83,67.15,2.25,29.75,3,237.2,20.5,51.7,1.24,8.34,1,Heat Stress
AASRA-TRN-000041,Latur,"Maharashtra, India",Zaid/Summer,42.65,32.0,40.68,5.03,19.97,5,1721.6,0.82,52.7,1.82,7.87,3,Compound Stress (Heat+Drought)
AASRA-TRN-000042,Latur,"Maharashtra, India",Rabi/Winter,31.26,16.78,76.1,1.09,21.45,0,1486.1,1.52,42.0,1.41,7.78,0,Optimal
AASRA-TRN-000043,Latur,"Maharashtra, India",Kharif/Wet,34.15,28.24,93.87,0.33,31.13,0,678.2,9.33,44.7,1.44,7.45,0,Optimal
AASRA-TRN-000044,Latur,"Maharashtra, India",Kharif/Wet,29.98,23.2,63.15,1.56,38.25,0,1891.8,49.42,43.7,0.9,7.39,0,Optimal
AASRA-TRN-000045,Latur,"Maharashtra, India",Rabi/Winter,20.44,5.79,54.23,1.1,11.74,0,202.6,4.14,47.2,1.03,7.7,2,Drought Stress
AASRA-TRN-000046,Latur,"Maharashtra, India",Kharif/Wet,22.64,16.97,91.78,0.23,33.36,0,637.2,25.57,46.7,1.31,8.12,0,Optimal
AASRA-TRN-000047,Latur,"Maharashtra, India",Rabi/Winter,17.77,7.93,74.68,0.51,21.32,0,105.4,6.64,44.2,1.94,7.8,0,Optimal
AASRA-TRN-000048,Latur,"Maharashtra, India",Kharif/Wet,37.07,30.17,93.99,0.38,27.49,1,2172.9,9.06,43.0,1.49,8.01,0,Optimal
AASRA-TRN-000049,Latur,"Maharashtra, India",Kharif/Wet,29.83,23.97,61.21,1.63,33.46,0,1740.8,49.96,45.0,1.54,7.89,0,Optimal
AASRA-TRN-000050,Latur,"Maharashtra, India",Kharif/Wet,32.27,22.69,97.0,0.2,17.81,0,1765.5,0.12,54.3,2.52,7.77,2,Drought Stress
AASRA-TRN-000051,Latur,"Maharashtra, India",Kharif/Wet,29.07,21.53,62.59,1.5,9.71,0,535.4,6.11,41.7,1.74,8.02,2,Drought Stress
AASRA-TRN-000052,Latur,"Maharashtra, India",Kharif/Wet,25.25,17.51,66.07,1.09,37.72,0,216.2,17.51,46.0,0.95,7.89,0,Optimal
AASRA-TRN-000053,Latur,"Maharashtra, India",Zaid/Summer,41.68,32.0,39.2,4.9,26.85,6,1851.9,0.1,48.3,1.65,7.76,1,Heat Stress
AASRA-TRN-000054,Latur,"Maharashtra, India",Rabi/Winter,18.84,3.48,74.42,0.56,21.15,0,40.6,1.14,46.2,2.05,8.47,5,Frost / Cold Stress
AASRA-TRN-000055,Latur,"Maharashtra, India",Rabi/Winter,19.8,7.0,76.21,0.55,25.1,0,88.4,7.11,50.9,0.92,7.86,0,Optimal
AASRA-TRN-000056,Latur,"Maharashtra, India",Rabi/Winter,18.92,5.91,82.62,0.38,32.51,0,270.8,18.21,51.4,0.95,8.05,0,Optimal
AASRA-TRN-000057,Latur,"Maharashtra, India",Kharif/Wet,31.29,22.3,67.17,1.5,39.17,0,369.4,3.57,44.6,2.08,8.1,0,Optimal
AASRA-TRN-000058,Latur,"Maharashtra, India",Kharif/Wet,33.76,27.05,74.94,1.32,33.7,0,1693.9,5.67,50.8,3.23,7.27,0,Optimal
AASRA-TRN-000059,Latur,"Maharashtra, India",Zaid/Summer,41.87,32.0,34.63,5.32,29.85,7,377.1,1.29,49.5,1.35,7.86,1,Heat Stress
AASRA-TRN-000060,Latur,"Maharashtra, India",Kharif/Wet,31.93,25.27,67.1,1.56,30.65,0,1227.8,8.21,42.5,2.16,8.3,0,Optimal
AASRA-TRN-000061,Latur,"Maharashtra, India",Kharif/Wet,31.47,24.73,76.09,1.1,34.29,0,1791.7,29.43,50.2,1.05,7.41,0,Optimal
AASRA-TRN-000062,Latur,"Maharashtra, India",Kharif/Wet,31.83,26.66,89.22,0.51,26.06,0,1520.3,8.21,44.8,1.04,7.55,0,Optimal
AASRA-TRN-000063,Latur,"Maharashtra, India",Zaid/Summer,41.0,30.03,39.5,4.71,24.57,1,1837.0,0.1,48.6,1.04,7.76,1,Heat Stress
AASRA-TRN-000064,Latur,"Maharashtra, India",Rabi/Winter,18.28,5.59,69.05,0.65,20.9,0,108.4,2.29,53.6,0.91,7.79,0,Optimal
AASRA-TRN-000065,Latur,"Maharashtra, India",Zaid/Summer,39.55,30.77,36.4,4.58,21.38,1,1082.0,1.89,47.8,0.83,7.55,3,Compound Stress (Heat+Drought)
AASRA-TRN-000066,Latur,"Maharashtra, India",Kharif/Wet,34.7,24.76,90.27,0.54,28.94,0,2071.7,20.33,47.0,1.19,7.43,0,Optimal
AASRA-TRN-000067,Latur,"Maharashtra, India",Kharif/Wet,24.99,15.52,71.67,0.9,35.48,0,287.1,37.42,54.2,1.1,8.26,0,Optimal
AASRA-TRN-000068,Latur,"Maharashtra, India",Rabi/Winter,12.23,-2.18,88.05,0.2,21.68,0,40.0,1.35,46.8,1.63,7.89,5,Frost / Cold Stress
AASRA-TRN-000069,Latur,"Maharashtra, India",Rabi/Winter,31.78,20.97,86.75,0.62,23.07,0,294.7,0.45,50.4,4.96,7.35,6,Salinity Stress
AASRA-TRN-000070,Latur,"Maharashtra, India",Rabi/Winter,16.11,3.63,50.33,0.91,14.88,0,40.0,3.82,46.5,1.11,7.57,2,Drought Stress
AASRA-TRN-000071,Latur,"Maharashtra, India",Rabi/Winter,11.8,-0.84,53.31,0.65,27.63,0,40.0,0.14,43.5,2.14,7.87,5,Frost / Cold Stress
AASRA-TRN-000072,Latur,"Maharashtra, India",Rabi/Winter,17.01,3.73,64.83,0.68,26.71,0,40.0,8.95,41.9,1.58,7.76,0,Optimal
AASRA-TRN-000073,Latur,"Maharashtra, India",Kharif/Wet,30.92,25.54,77.82,0.99,42.65,0,1494.6,28.66,48.8,1.97,7.25,0,Optimal
AASRA-TRN-000074,Latur,"Maharashtra, India",Rabi/Winter,19.0,3.22,50.15,1.1,22.53,0,58.9,0.02,51.5,4.07,7.59,5,Frost / Cold Stress
AASRA-TRN-000075,Latur,"Maharashtra, India",Zaid/Summer,44.27,32.0,42.87,5.27,21.02,3,2500.0,1.77,50.2,1.09,7.27,3,Compound Stress (Heat+Drought)
AASRA-TRN-000076,Latur,"Maharashtra, India",Zaid/Summer,41.83,32.0,20.55,5.8,43.25,2,619.1,1.97,47.3,2.39,7.46,1,Heat Stress
AASRA-TRN-000077,Latur,"Maharashtra, India",Rabi/Winter,22.11,10.73,48.27,1.38,20.6,0,346.7,3.87,46.3,1.18,8.31,0,Optimal
AASRA-TRN-000078,Latur,"Maharashtra, India",Kharif/Wet,33.77,26.46,58.01,2.21,42.98,0,1287.6,102.08,46.5,3.5,7.38,4,Flooding / Waterlogging
AASRA-TRN-000079,Latur,"Maharashtra, India",Kharif/Wet,30.17,22.77,92.95,0.3,35.85,0,626.0,21.73,52.9,4.94,7.64,6,Salinity Stress
AASRA-TRN-000080,Latur,"Maharashtra, India",Kharif/Wet,36.07,26.81,81.56,1.1,33.42,1,836.1,27.66,49.6,0.85,7.71,0,Optimal
AASRA-TRN-000081,Latur,"Maharashtra, India",Kharif/Wet,31.75,22.36,76.7,1.09,38.66,0,1159.8,63.7,45.1,1.75,8.21,0,Optimal
AASRA-TRN-000082,Latur,"Maharashtra, India",Kharif/Wet,39.79,32.0,96.29,0.27,33.18,2,2500.0,0.82,49.6,1.79,7.98,1,Heat Stress
AASRA-TRN-000083,Latur,"Maharashtra, India",Rabi/Winter,16.84,2.13,56.19,0.84,34.66,0,40.0,0.76,49.6,1.57,8.34,5,Frost / Cold Stress
AASRA-TRN-000084,Latur,"Maharashtra, India",Zaid/Summer,43.34,31.07,25.19,5.8,21.46,1,925.0,0.05,48.4,1.13,7.88,3,Compound Stress (Heat+Drought)
AASRA-TRN-000085,Latur,"Maharashtra, India",Zaid/Summer,40.93,30.53,42.04,4.49,31.98,7,2213.0,1.35,52.2,1.23,8.04,1,Heat Stress
AASRA-TRN-000086,Latur,"Maharashtra, India",Zaid/Summer,42.22,32.0,45.62,4.51,29.91,1,1355.6,0.41,49.1,1.01,7.58,1,Heat Stress
AASRA-TRN-000087,Latur,"Maharashtra, India",Zaid/Summer,42.67,32.0,23.76,5.8,20.94,1,2487.6,0.01,49.4,1.76,7.81,3,Compound Stress (Heat+Drought)
AASRA-TRN-000088,Latur,"Maharashtra, India",Rabi/Winter,31.82,19.79,64.61,1.67,30.08,0,1311.7,5.5,50.0,2.35,7.55,0,Optimal
AASRA-TRN-000089,Latur,"Maharashtra, India",Rabi/Winter,11.95,-1.4,88.58,0.2,14.76,0,40.0,0.14,51.4,4.43,7.93,5,Frost / Cold Stress
AASRA-TRN-000090,Latur,"Maharashtra, India",Kharif/Wet,32.2,24.86,62.09,1.82,35.88,0,1019.3,63.53,48.3,2.55,8.21,0,Optimal
AASRA-TRN-000091,Latur,"Maharashtra, India",Rabi/Winter,26.61,15.7,52.55,1.65,31.1,0,624.6,9.04,52.6,1.37,7.76,0,Optimal
AASRA-TRN-000092,Latur,"Maharashtra, India",Zaid/Summer,37.88,25.54,33.13,4.4,17.67,3,521.0,1.88,50.2,1.44,7.37,3,Compound Stress (Heat+Drought)
AASRA-TRN-000093,Latur,"Maharashtra, India",Kharif/Wet,21.33,11.73,89.86,0.26,13.62,0,215.6,21.09,44.4,0.93,7.78,2,Drought Stress
AASRA-TRN-000094,Latur,"Maharashtra, India",Kharif/Wet,29.64,22.37,60.9,1.63,17.15,0,176.1,0.26,51.5,1.3,8.67,2,Drought Stress
AASRA-TRN-000095,Latur,"Maharashtra, India",Kharif/Wet,34.41,25.67,62.11,2.06,26.05,0,1904.0,3.47,46.9,1.46,7.82,0,Optimal
AASRA-TRN-000096,Latur,"Maharashtra, India",Kharif/Wet,31.39,26.22,73.88,1.2,30.0,0,1993.3,1.8,45.6,0.94,8.43,0,Optimal
AASRA-TRN-000097,Latur,"Maharashtra, India",Rabi/Winter,18.78,3.5,75.83,0.52,21.8,0,86.5,2.71,42.6,3.54,8.1,0,Optimal
AASRA-TRN-000098,Latur,"Maharashtra, India",Kharif/Wet,33.02,23.93,83.74,0.82,28.39,0,1551.7,13.25,51.3,1.55,7.67,0,Optimal
AASRA-TRN-000099,Latur,"Maharashtra, India",Kharif/Wet,30.32,22.97,92.87,0.31,32.27,0,1065.4,30.0,46.0,0.98,7.77,0,Optimal
AASRA-TRN-000100,Latur,"Maharashtra, India",Rabi/Winter,15.36,1.6,46.53,0.93,25.38,0,40.0,0.22,50.0,1.1,8.18,5,Frost / Cold Stress
AASRA-TRN-000101,Latur,"Maharashtra, India",Kharif/Wet,39.58,32.0,78.56,1.55,24.16,14,748.0,17.24,46.6,1.3,7.83,1,Heat Stress
AASRA-TRN-000102,Latur,"Maharashtra, India",Kharif/Wet,29.47,20.29,89.04,0.45,42.83,0,312.6,5.92,40.0,1.32,8.38,0,Optimal
AASRA-TRN-000103,Latur,"Maharashtra, India",Kharif/Wet,34.2,27.18,81.18,1.01,27.46,0,1427.7,19.77,45.6,1.86,7.9,0,Optimal
AASRA-TRN-000104,Latur,"Maharashtra, India",Rabi/Winter,13.22,3.71,70.99,0.44,23.4,0,40.0,0.56,47.0,1.21,7.71,0,Optimal
AASRA-TRN-000105,Latur,"Maharashtra, India",Kharif/Wet,36.33,27.64,76.99,1.39,19.79,1,2500.0,23.98,49.3,1.68,7.95,0,Optimal
AASRA-TRN-000106,Latur,"Maharashtra, India",Rabi/Winter,21.75,11.17,49.43,1.32,19.47,0,187.3,0.6,46.3,0.91,8.4,2,Drought Stress
AASRA-TRN-000107,Latur,"Maharashtra, India",Kharif/Wet,31.54,22.2,78.62,0.99,15.29,0,641.1,13.34,55.3,0.95,7.75,2,Drought Stress
AASRA-TRN-000108,Latur,"Maharashtra, India",Kharif/Wet,30.44,20.62,84.47,0.68,22.35,0,264.0,6.49,45.9,4.65,7.76,6,Salinity Stress
AASRA-TRN-000109,Latur,"Maharashtra, India",Kharif/Wet,33.25,24.8,66.63,1.7,29.61,0,1864.6,24.83,44.2,1.85,8.37,0,Optimal
AASRA-TRN-000110,Latur,"Maharashtra, India",Zaid/Summer,39.95,31.41,40.02,4.41,19.07,2,1284.0,1.58,46.2,3.4,8.12,3,Compound Stress (Heat+Drought)
AASRA-TRN-000111,Latur,"Maharashtra, India",Rabi/Winter,19.04,7.77,64.81,0.78,27.06,0,320.2,1.37,44.9,1.4,8.34,0,Optimal
AASRA-TRN-000112,Latur,"Maharashtra, India",Rabi/Winter,27.35,14.84,92.57,0.27,19.85,0,1320.2,2.35,50.4,2.68,7.23,0,Optimal
AASRA-TRN-000113,Latur,"Maharashtra, India",Rabi/Winter,10.07,0.94,45.38,0.67,19.73,0,40.0,0.65,50.7,1.08,7.9,5,Frost / Cold Stress
AASRA-TRN-000114,Latur,"Maharashtra, India",Kharif/Wet,34.85,27.19,61.59,2.14,29.25,0,1282.2,19.13,48.7,2.06,7.91,0,Optimal
AASRA-TRN-000115,Latur,"Maharashtra, India",Rabi/Winter,21.32,7.35,73.37,0.68,26.58,0,173.4,0.34,52.9,1.6,7.77,0,Optimal
AASRA-TRN-000116,Latur,"Maharashtra, India",Rabi/Winter,27.63,14.1,63.04,1.37,26.57,0,1032.0,0.58,49.5,3.16,7.91,0,Optimal
AASRA-TRN-000117,Latur,"Maharashtra, India",Rabi/Winter,16.44,6.77,67.59,0.61,19.18,0,156.9,2.93,43.8,2.14,7.91,2,Drought Stress
AASRA-TRN-000118,Latur,"Maharashtra, India",Rabi/Winter,23.79,13.0,47.92,1.53,23.4,0,847.9,3.0,43.8,0.95,8.03,0,Optimal
AASRA-TRN-000119,Latur,"Maharashtra, India",Kharif/Wet,23.62,17.97,86.97,0.38,25.38,0,356.2,2.42,42.3,0.88,8.0,0,Optimal
AASRA-TRN-000120,Latur,"Maharashtra, India",Kharif/Wet,34.72,29.37,68.85,1.72,35.33,0,1278.6,22.49,51.4,1.7,7.42,0,Optimal
AASRA-TRN-000121,Latur,"Maharashtra, India",Kharif/Wet,35.01,29.14,66.04,1.91,41.83,1,684.3,25.77,48.3,1.57,7.76,0,Optimal
AASRA-TRN-000122,Latur,"Maharashtra, India",Rabi/Winter,16.48,4.16,50.99,0.92,18.18,0,40.0,1.45,51.0,1.08,8.07,2,Drought Stress
AASRA-TRN-000123,Latur,"Maharashtra, India",Zaid/Summer,36.05,27.73,21.73,4.66,12.61,5,547.2,0.19,48.1,1.22,7.26,3,Compound Stress (Heat+Drought)
AASRA-TRN-000124,Latur,"Maharashtra, India",Zaid/Summer,41.16,28.56,47.73,4.1,24.47,8,372.9,1.03,46.7,3.47,7.96,1,Heat Stress
AASRA-TRN-000125,Latur,"Maharashtra, India",Rabi/Winter,23.89,12.63,52.69,1.4,30.81,0,735.3,0.07,46.2,1.05,7.83,0,Optimal
AASRA-TRN-000126,Latur,"Maharashtra, India",Rabi/Winter,34.15,20.9,53.74,2.48,20.46,0,1296.8,4.34,39.2,0.96,7.82,0,Optimal
AASRA-TRN-000127,Latur,"Maharashtra, India",Zaid/Summer,39.35,28.38,43.79,4.0,17.33,1,1646.8,4.13,49.1,1.13,7.82,3,Compound Stress (Heat+Drought)
AASRA-TRN-000128,Latur,"Maharashtra, India",Kharif/Wet,23.43,18.14,97.35,0.2,35.94,0,636.3,26.13,46.0,0.93,7.66,0,Optimal
AASRA-TRN-000129,Latur,"Maharashtra, India",Kharif/Wet,36.72,28.55,67.31,2.02,14.22,2,2014.5,5.72,53.3,1.05,7.97,2,Drought Stress
AASRA-TRN-000130,Latur,"Maharashtra, India",Kharif/Wet,35.53,28.46,87.34,0.73,35.38,3,791.8,38.67,46.0,0.82,6.89,0,Optimal
AASRA-TRN-000131,Latur,"Maharashtra, India",Kharif/Wet,25.6,16.43,65.95,1.12,20.74,0,528.8,21.83,51.6,0.87,7.76,0,Optimal
AASRA-TRN-000132,Latur,"Maharashtra, India",Kharif/Wet,42.48,32.0,84.07,1.34,27.05,4,2097.6,6.14,49.5,2.76,8.22,1,Heat Stress
AASRA-TRN-000133,Latur,"Maharashtra, India",Zaid/Summer,34.6,22.4,44.66,3.04,24.12,0,203.5,0.06,46.6,1.42,8.29,0,Optimal
AASRA-TRN-000134,Latur,"Maharashtra, India",Rabi/Winter,28.81,19.07,67.16,1.3,10.01,0,1282.3,13.34,50.8,2.42,8.23,2,Drought Stress
AASRA-TRN-000135,Latur,"Maharashtra, India",Zaid/Summer,36.81,27.94,36.45,3.95,25.66,2,2058.7,0.16,49.9,2.25,8.15,0,Optimal
AASRA-TRN-000136,Latur,"Maharashtra, India",Rabi/Winter,18.49,2.77,89.79,0.22,29.16,0,40.0,1.95,45.3,1.44,7.67,5,Frost / Cold Stress
AASRA-TRN-000137,Latur,"Maharashtra, India",Rabi/Winter,19.18,3.68,63.61,0.81,18.55,0,152.7,0.76,45.1,1.37,8.52,2,Drought Stress
AASRA-TRN-000138,Latur,"Maharashtra, India",Zaid/Summer,39.67,30.24,43.29,4.11,22.79,1,748.8,2.54,50.9,1.42,7.52,3,Compound Stress (Heat+Drought)
AASRA-TRN-000139,Latur,"Maharashtra, India",Rabi/Winter,22.47,8.38,79.26,0.56,32.26,0,629.3,0.34,42.0,0.9,7.8,0,Optimal
AASRA-TRN-000140,Latur,"Maharashtra, India",Rabi/Winter,12.14,1.05,79.44,0.29,29.89,0,40.0,2.5,49.2,2.23,8.12,5,Frost / Cold Stress
AASRA-TRN-000141,Latur,"Maharashtra, India",Rabi/Winter,16.72,1.56,60.55,0.75,26.73,0,40.0,3.21,45.8,2.16,7.95,5,Frost / Cold Stress
AASRA-TRN-000142,Latur,"Maharashtra, India",Rabi/Winter,9.93,0.69,55.12,0.55,25.06,0,40.0,4.11,47.6,1.2,7.95,5,Frost / Cold Stress
AASRA-TRN-000143,Latur,"Maharashtra, India",Kharif/Wet,35.15,27.19,74.5,1.45,22.62,1,275.2,10.93,49.2,1.99,8.21,0,Optimal
AASRA-TRN-000144,Latur,"Maharashtra, India",Rabi/Winter,33.79,19.87,69.33,1.61,37.28,0,1077.2,0.16,53.6,0.82,8.35,0,Optimal
AASRA-TRN-000145,Latur,"Maharashtra, India",Rabi/Winter,25.74,13.12,52.37,1.58,19.72,0,631.7,1.74,50.4,1.2,7.5,0,Optimal
AASRA-TRN-000146,Latur,"Maharashtra, India",Rabi/Winter,20.68,10.44,94.56,0.2,13.51,0,144.6,3.47,55.9,2.18,7.91,2,Drought Stress
AASRA-TRN-000147,Latur,"Maharashtra, India",Rabi/Winter,16.72,4.1,92.03,0.2,19.31,0,40.0,1.06,46.4,2.86,7.24,2,Drought Stress
AASRA-TRN-000148,Latur,"Maharashtra, India",Kharif/Wet,30.31,20.79,89.21,0.47,43.99,0,1228.4,52.83,48.5,0.81,7.7,0,Optimal
AASRA-TRN-000149,Latur,"Maharashtra, India",Kharif/Wet,28.0,22.66,69.29,1.16,22.86,0,1441.1,1.29,44.9,3.17,7.51,0,Optimal
AASRA-TRN-000150,Latur,"Maharashtra, India",Rabi/Winter,21.87,12.54,73.1,0.71,15.93,0,382.0,2.9,47.4,1.22,8.17,2,Drought Stress
AASRA-TRN-000151,Latur,"Maharashtra, India",Kharif/Wet,28.49,18.81,74.75,0.98,35.17,0,777.9,1.18,51.1,4.78,7.48,6,Salinity Stress
AASRA-TRN-000152,Latur,"Maharashtra, India",Kharif/Wet,29.77,24.32,79.8,0.85,39.05,0,1670.4,25.33,53.7,4.74,7.63,6,Salinity Stress
AASRA-TRN-000153,Latur,"Maharashtra, India",Rabi/Winter,14.02,1.21,67.92,0.51,21.76,0,40.0,0.26,43.6,3.71,7.78,5,Frost / Cold Stress
AASRA-TRN-000154,Latur,"Maharashtra, India",Rabi/Winter,25.72,15.94,93.9,0.2,16.91,0,1028.9,1.32,45.6,2.38,7.05,2,Drought Stress
AASRA-TRN-000155,Latur,"Maharashtra, India",Kharif/Wet,33.74,24.35,92.82,0.38,42.04,0,2151.7,46.57,47.0,5.0,7.25,6,Salinity Stress
AASRA-TRN-000156,Latur,"Maharashtra, India",Kharif/Wet,31.29,24.88,89.93,0.46,24.15,0,614.9,10.9,45.6,1.27,7.03,0,Optimal
AASRA-TRN-000157,Latur,"Maharashtra, India",Kharif/Wet,31.32,22.53,70.49,1.35,8.78,0,1709.3,7.12,44.0,3.07,7.99,2,Drought Stress
AASRA-TRN-000158,Latur,"Maharashtra, India",Rabi/Winter,19.67,3.79,55.1,1.03,19.12,0,204.1,0.45,49.7,1.0,7.9,2,Drought Stress
