test_id,scenario,expected_class_id,expected_stress_name,predicted_class_id,predicted_stress_name,confidence_pct,is_correct_match,prob_optimal_pct,prob_heat_pct,prob_drought_pct,prob_compound_pct,prob_flooding_pct,prob_frost_pct,prob_salinity_pct,temp_max_forecast_7d,temp_night_min_7d,rh_avg_forecast_7d,vpd_kpa,soil_moisture_vol_pct,consecutive_hot_days,crop_gdd_accumulated
HEAT_07,Heat,1,Heat Stress,1,Heat Stress,99.79,True,0.14,99.79,0.01,0.03,0.01,0.0,0.01,43.2,24.91,47.11,4.62,30.75,2,794.79
HEAT_08,Heat,1,Heat Stress,1,Heat Stress,99.97,True,0.01,99.97,0.0,0.01,0.0,0.0,0.0,39.16,26.11,47.59,3.7,33.07,4,1687.68
HEAT_09,Heat,1,Heat Stress,1,Heat Stress,99.89,True,0.07,99.89,0.01,0.02,0.0,0.0,0.0,42.65,26.14,53.67,3.93,30.41,2,1023.46
HEAT_10,Heat,1,Heat Stress,1,Heat Stress,99.96,True,0.01,99.96,0.0,0.02,0.0,0.0,0.0,44.26,25.41,47.07,4.88,38.83,6,1706.74
HEAT_11,Heat,1,Heat Stress,1,Heat Stress,98.56,True,0.91,98.56,0.09,0.27,0.05,0.04,0.08,42.57,23.87,56.84,3.65,35.97,4,958.37
HEAT_12,Heat,1,Heat Stress,1,Heat Stress,99.99,True,0.0,99.99,0.0,0.0,0.0,0.0,0.0,38.17,28.27,65.66,2.3,32.52,4,1131.05
HEAT_13,Heat,1,Heat Stress,1,Heat Stress,99.16,True,0.53,99.16,0.04,0.15,0.05,0.03,0.04,38.87,23.97,61.81,2.65,41.87,5,1452.97
HEAT_14,Heat,1,Heat Stress,1,Heat Stress,99.35,True,0.39,99.35,0.03,0.12,0.03,0.02,0.04,38.86,23.61,67.9,2.23,30.67,5,1132.28
HEAT_15,Heat,1,Heat Stress,1,Heat Stress,99.99,True,0.01,99.99,0.0,0.0,0.0,0.0,0.0,40.97,27.66,65.74,2.66,35.71,3,736.38
HEAT_16,Heat,1,Heat Stress,1,Heat Stress,99.98,True,0.01,99.98,0.0,0.01,0.0,0.0,0.0,42.12,28.55,51.4,4.01,32.96,6,367.37
DROUGHT_01,Drought,2,Drought Stress,2,Drought Stress,99.97,True,0.01,0.0,99.97,0.01,0.0,0.0,0.0,32.05,23.8,44.81,2.63,17.11,3,1640.17
DROUGHT_02,Drought,2,Drought Stress,2,Drought Stress,99.99,True,0.01,0.0,99.99,0.0,0.0,0.0,0.0,32.63,23.02,27.9,3.55,16.29,3,860.49
DROUGHT_03,Drought,2,Drought Stress,2,Drought Stress,99.97,True,0.01,0.0,99.97,0.01,0.0,0.0,0.0,29.66,19.71,38.67,2.55,18.9,3,484.14
DROUGHT_04,Drought,2,Drought Stress,2,Drought Stress,100.0,True,0.0,0.0,100.0,0.0,0.0,0.0,0.0,34.82,19.17,23.83,4.24,15.69,0,1611.84
DROUGHT_05,Drought,2,Drought Stress,2,Drought Stress,100.0,True,0.0,0.0,100.0,0.0,0.0,0.0,0.0,30.38,23.05,27.76,3.13,19.23,1,515.85
DROUGHT_06,Drought,2,Drought Stress,2,Drought Stress,100.0,True,0.0,0.0,100.0,0.0,0.0,0.0,0.0,29.1,18.86,25.74,2.99,16.44,2,482.75
DROUGHT_07,Drought,2,Drought Stress,2,Drought Stress,99.98,True,0.01,0.0,99.98,0.0,0.0,0.0,0.0,32.54,21.78,37.36,3.07,11.9,3,1373.11
DROUGHT_08,Drought,2,Drought Stress,2,Drought Stress,99.99,True,0.0,0.0,99.99,0.0,0.0,0.0,0.0,34.17,18.8,23.28,4.12,18.81,3,896.37
DROUGHT_09,Drought,2,Drought Stress,2,Drought Stress,100.0,True,0.0,0.0,100.0,0.0,0.0,0.0,0.0,31.11,22.31,32.21,3.06,19.08,2,1687.21
DROUGHT_10,Drought,2,Drought Stress,2,Drought Stress,99.99,True,0.01,0.0,99.99,0.0,0.0,0.0,0.0,29.17,22.12,33.88,2.68,11.01,1,510.51
DROUGHT_11,Drought,2,Drought Stress,2,Drought Stress,99.99,True,0.01,0.0,99.99,0.0,0.0,0.0,0.0,31.93,21.87,44.16,2.65,18.86,2,1001.07
DROUGHT_12,Drought,2,Drought Stress,2,Drought Stress,99.98,True,0.01,0.0,99.98,0.0,0.0,0.0,0.0,34.49,18.71,20.45,4.35,17.88,3,1495.23
DROUGHT_13,Drought,2,Drought Stress,2,Drought Stress,99.98,True,0.01,0.0,99.98,0.0,0.0,0.0,0.0,30.63,21.94,33.27,2.94,18.24,3,918.86
DROUGHT_14,Drought,2,Drought Stress,2,Drought Stress,100.0,True,0.0,0.0,100.0,0.0,0.0,0.0,0.0,31.62,22.24,30.65,3.23,18.24,2,980.85
DROUGHT_15,Drought,2,Drought Stress,2,Drought Stress,99.99,True,0.01,0.0,99.99,0.0,0.0,0.0,0.0,30.73,22.85,25.92,3.28,17.76,3,399.84
DROUGHT_16,Drought,2,Drought Stress,2,Drought Stress,100.0,True,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.16,23.36,23.65,3.87,12.95,0,515.81
COMPOUND_01,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.01,0.01,99.99,0.0,0.0,0.0,47.21,25.56,19.14,8.67,9.69,4,331.72
COMPOUND_02,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.59,True,0.02,0.02,0.35,99.59,0.01,0.01,0.01,38.55,23.48,19.37,5.5,14.5,2,1321.07
COMPOUND_03,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.0,0.0,99.99,0.0,0.0,0.0,41.94,27.54,22.95,6.3,17.63,6,365.21
COMPOUND_04,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.01,0.01,99.99,0.0,0.0,0.0,39.81,25.24,20.92,5.78,14.28,7,924.39
COMPOUND_05,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.98,True,0.0,0.0,0.02,99.98,0.0,0.0,0.0,38.49,27.71,24.34,5.15,9.12,2,377.94
COMPOUND_06,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),100.0,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,47.25,30.59,17.48,8.87,17.93,7,1769.36
COMPOUND_07,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.0,0.0,99.99,0.0,0.0,0.0,46.02,28.78,34.49,6.61,16.57,6,1104.1
COMPOUND_08,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.98,True,0.0,0.0,0.01,99.98,0.0,0.0,0.0,43.14,27.17,36.44,5.53,12.24,2,1259.34
COMPOUND_09,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.0,0.0,99.99,0.0,0.0,0.0,40.66,27.3,18.49,6.23,12.59,5,851.27
COMPOUND_10,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.0,0.0,99.99,0.0,0.0,0.0,41.66,26.42,23.19,6.19,15.54,3,745.31
COMPOUND_11,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.0,0.0,99.99,0.0,0.0,0.0,47.49,27.33,37.91,6.75,11.61,4,1572.84
COMPOUND_12,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.0,0.0,99.99,0.0,0.0,0.0,44.53,27.79,35.11,6.07,14.96,5,732.23
COMPOUND_13,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.0,0.0,99.99,0.0,0.0,0.0,45.35,29.25,20.06,7.8,17.47,7,1221.57
COMPOUND_14,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.4,True,0.02,0.02,0.53,99.4,0.01,0.01,0.01,38.95,23.76,33.14,4.66,18.3,2,506.11
COMPOUND_15,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.99,True,0.0,0.0,0.0,99.99,0.0,0.0,0.0,47.59,28.34,35.02,7.1,16.61,7,1719.04
COMPOUND_16,Compound,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.65,True,0.01,0.02,0.3,99.65,0.01,0.01,0.01,40.53,23.86,29.75,5.33,14.78,6,556.94
BOUND_01,Drought_boundary,2,Drought Stress,2,Drought Stress,95.42,True,4.57,0.0,95.42,0.0,0.0,0.0,0.0,35.0,24.0,50.0,2.81,20.0,0,1000.0
BOUND_02,Drought_boundary,2,Drought Stress,2,Drought Stress,97.7,True,2.3,0.0,97.7,0.0,0.0,0.0,0.0,35.1,24.0,49.0,2.88,19.5,1,1000.0
BOUND_03,Drought_boundary,2,Drought Stress,2,Drought Stress,99.99,True,0.0,0.0,99.99,0.0,0.0,0.0,0.0,35.0,24.0,49.0,2.87,19.4,1,1000.0
BOUND_04,Heat_boundary,1,Heat Stress,0,Optimal Growth,89.73,False,89.73,9.95,0.11,0.09,0.04,0.03,0.06,38.0,24.0,55.0,2.98,25.0,2,1000.0
BOUND_05,Heat_boundary,1,Heat Stress,1,Heat Stress,98.19,True,1.42,98.19,0.08,0.15,0.05,0.04,0.07,38.1,24.0,54.0,3.06,25.0,2,1000.0
BOUND_06,Compound_boundary,3,Compound Stress (Heat+Drought),3,Compound Stress (Heat+Drought),99.73,True,0.01,0.01,0.23,99.73,0.01,0.0,0.01,42.0,24.0,40.0,4.92,18.5,3,1000.0
BOUND_07,Drought_boundary,2,Drought Stress,2,Drought Stress,100.0,True,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36.0,24.0,32.0,4.04,2.7,0,1000.0
BOUND_08,Drought_boundary,2,Drought Stress,2,Drought Stress,100.0,True,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36.0,24.0,32.0,4.04,19.0,0,1000.0
